"path","title_len","desc_len","has_canonical","has_og","has_twitter","has_jsonld","has_robots","has_h1","internal_links","issues"
"index.html","19","0","True","False","False","False","False","True","0","no-og; no-twitter; no-jsonld; no-robots; title-len; no-desc; few-internal-links"
"discovery/index.html","46","105","True","True","True","True","True","True","10",""
"discovery/fiction/12-best-books-that-blend-reality-fantasy.html","57","126","True","True","True","True","True","True","14",""
"discovery/fiction/12-best-sci-fi-space-opera-novels-for-as.html","60","145","True","True","True","True","True","True","14",""
"discovery/fiction/12-books-about-body-image-and-self-accep.html","47","120","True","True","True","True","True","True","14",""
"discovery/fiction/12-books-about-dark-fantasy-villains.html","41","114","True","True","True","True","True","True","14",""
"discovery/fiction/12-books-about-family-identity-and-belon.html","34","89","True","True","True","True","True","True","14",""
"discovery/fiction/12-books-of-perceptive-psychological-fic.html","46","108","True","True","True","True","True","True","14",""
"discovery/fiction/12-books-set-in-forests-and-woods.html","56","131","True","True","True","True","True","True","14",""
"discovery/fiction/12-business-books-worth-reading-for-entr.html","56","111","True","True","True","True","True","True","14",""
"discovery/fiction/12-compelling-books-about-women-s-lives.html","56","121","True","True","True","True","True","True","14",""
"discovery/fiction/12-dark-gothic-and-victorian-inspired-my.html","46","122","True","True","True","True","True","True","14",""
"discovery/fiction/12-enchanting-fantasy-books-to-transport.html","64","120","True","True","True","True","True","True","14",""
"discovery/fiction/12-epic-fantasy-books-from-bestselling-a.html","60","142","True","True","True","True","True","True","14",""
"discovery/fiction/12-essential-books-for-your-literary-jou.html","44","98","True","True","True","True","True","True","14",""
"discovery/fiction/12-essential-classic-novels-for-your-rea.html","27","102","True","True","True","True","True","True","14","title-len"
"discovery/fiction/12-gripping-books-about-assassins-that-w.html","56","154","True","True","True","True","True","True","14",""
"discovery/fiction/12-gripping-mystery-novels-about-amateur.html","46","117","True","True","True","True","True","True","14",""
"discovery/fiction/12-gripping-psychological-mystery-books-.html","46","112","True","True","True","True","True","True","14",""
"discovery/fiction/12-humorous-romance-novels-to-brighten-y.html","46","105","True","True","True","True","True","True","14",""
"discovery/fiction/14-enthralling-fantasy-books-featuring-m.html","56","105","True","True","True","True","True","True","14",""
"discovery/fiction/best-asian-american-and-asian-inspired-n.html","54","147","True","True","True","True","True","True","14",""
"discovery/fiction/best-books-recommended-by-reese-s-book-c.html","51","154","True","True","True","True","True","True","14",""
"discovery/fiction/best-dark-fantasy-novels-for-fans-of-gri.html","47","105","True","True","True","True","True","True","14",""
"discovery/fiction/best-historical-fiction-novels-with-stro.html","56","117","True","True","True","True","True","True","14",""
"discovery/fiction/best-multicultural-diverse-books-to-read.html","61","99","True","True","True","True","True","True","14",""
"discovery/fiction/best-summer-romance-novels.html","39","94","True","True","True","True","True","True","14",""
"discovery/fiction/beyond-reality-12-unconventional-stories.html","41","89","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-bookshops-and-libraries.html","42","130","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-forbidden-love.html","62","152","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-human-nature-and-society.html","65","154","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-identity-coming-of-age-women.html","60","145","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-love-and-relationships.html","36","114","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-relationships-and-social-int.html","51","99","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-sisters-a-collection-of-sibl.html","52","139","True","True","True","True","True","True","14",""
"discovery/fiction/books-about-the-buffalo-hunter-hunter.html","37","54","True","True","True","True","True","True","14","desc-len"
